50,40,1499815836
50,45,1499815839
50,50,1499815842
50,55,1499815845
50,60,1499815848
50,65,1499815851
55,40,1499815854
55,45,1499815857
55,50,1499815860
55,55,1499815863
55,60,1499815866
55,65,1499815869
60,40,1499815872
60,45,1499815875
60,50,1499815878
60,55,1499815881
60,60,1499815884
60,65,1499815887
65,40,1499815890
65,45,1499815893
65,50,1499815896
65,55,1499815899
65,60,1499815902
65,65,1499815905
70,40,1499815908
70,45,1499815911
70,50,1499815914
70,55,1499815917
70,60,1499815920
70,65,1499815923
