-10.0,-10.0,1500028974.956471
-5.0,-10.0,1500028974.998833
0.0,-10.0,1500028975.0304582
5.0,-10.0,1500028975.0662022
10.0,-10.0,1500028975.105568
-10.0,-5.0,1500028975.135552
-5.0,-5.0,1500028975.171793
0.0,-5.0,1500028975.2088928
5.0,-5.0,1500028975.243156
10.0,-5.0,1500028975.276344
-10.0,0.0,1500028975.308223
-5.0,0.0,1500028975.3389928
0.0,0.0,1500028975.37465
5.0,0.0,1500028975.404993
10.0,0.0,1500028975.440734
-10.0,-10.0,1500029069.141314
-5.0,-10.0,1500029069.188503
0.0,-10.0,1500029069.223309
-10.0,-5.0,1500029069.297761
-10.0,0.0,1500029069.3455
-5.0,0.0,1500029069.396607
0.0,0.0,1500029069.44011
-5.0,-10.0,1500029091.217291
0.0,-10.0,1500029091.2757509
-10.0,-5.0,1500029091.316483
-5.0,-5.0,1500029091.382756
0.0,-5.0,1500029091.407664
5.0,-5.0,1500029091.4819179
-5.0,-10.0,1500029091.533228
0.0,-10.0,1500029091.585537
-10.0,-5.0,1500029091.659175
-10.0,0.0,1500029091.6961012
-5.0,0.0,1500029091.72517
0.0,0.0,1500029091.7754161
